"census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","arrest_pct_tot","arrest_pct_B","arrest_pct_W","pop_pct_tot","pop_pct_B","pop_pct_W","sir_tot","sir_B","sir_W","RE_tot","RE_B","RE_W"
10501,2016,124,253,385,37,129,4440,3013,1187,0.678603604,0.267342342,100,32.2253960010387,65.7231887821345,8.67097587892165,10.4456237890658,8.39666788357506,0.100013998785319,0.922061386220845,3.83771602835936,-0.954741239547729,-1.54137599468231,-0.737710654735565
10501,2017,124,181,307,37,129,4274,2844,1226,0.665418811,0.286850725,100,40.4102898078802,58.9710192119831,7.18279871785873,10.1133675882881,6.36405189690939,0.10001074532479,0.892751024068149,2.90844787284545,-0.234096050262451,-0.0431033819913864,-0.0877358168363571
10501,2018,102,254,362,37,129,4396,3200,1169,0.727934486,0.265923567,100,28.196630764982,70.1739850869925,8.23457155205751,8.72465999486785,7.93725196087622,0.100013032055116,0.770139780804007,3.62805350820979,1.2480286359787,1.15955984592438,1.65099132061005
10502,2010,191,236,428,37,129,7375,5021,1912,0.680813559,0.259254237,100,44.6391030133146,55.1506657323055,5.80331114154384,9.9890173108101,4.70016530242377,0.100025849517877,0.881976105571956,2.14949661359121,0.659706890583038,0.897911012172699,0.179269149899483
10502,2011,181,308,493,37,129,7441,5563,1375,0.747614568,0.184786991,100,36.7268302575542,62.4822551206652,6.62536452943785,13.1626790778852,5.53648145817979,0.10003004172578,1.16200742380234,2.5321835365686,0.200272500514984,0.706129312515259,-0.129048034548759
10502,2012,202,309,515,37,129,7991,5973,1178,0.747465899,0.147415843,100,39.2350999805863,60.0077654824306,6.44466969503573,17.1462524403701,5.17319314928597,0.100033701948722,1.5135350430248,2.36615940066325,0.825335800647736,1.20738983154297,0.749658107757568
10502,2013,159,224,387,37,129,8272,6302,1181,0.761847195,0.142770793,100,41.1004908292431,57.8920175665203,4.67837671208037,13.4620269240538,3.55437076530046,0.100026216103595,1.18832286868455,1.62579212275409,1.90139520168304,1.57313561439514,1.8637421131134
10502,2014,125,225,355,37,129,8408,6408,1207,0.762131304,0.143553758,100,35.229512813292,63.3905941988172,4.222119147013,10.3553972330379,3.51118116134268,0.100024443743051,0.914106849198058,1.60605578006233,-0.680418729782104,-0.988346040248871,-0.63280177116394
10502,2015,155,234,393,37,129,8205,5857,1554,0.713833029,0.189396709,100,39.4556092597303,59.5522767743577,4.78970396460738,9.97361817128885,3.99515118403305,0.100026406922419,0.88053338464692,1.82730936757392,2.83641004562378,4.00899982452393,2.63154125213623
10502,2016,140,257,400,37,129,8472,6161,1422,0.727219075,0.167847025,100,35.0162459385154,64.2589352661835,4.72137958711536,9.84459601997047,4.17133304117771,0.10002775189171,0.869101862698975,1.90796364920411,0.238894060254097,0.715142130851746,0.3394715487957
